SSID,ProgrammePartnersName,NumberofProgrammePartners
CXB-206,OBAT SCI UNHCR UNICEF,4
CXB-223,BRAC OBAT SCI UNICEF VSO,5
CXB-224,AMURT BRAC DoPeace UNICEF,4
CXB-211,BRAC OBAT UNICEF,3
CXB-210,BRAC UNICEF,2
CXB-207,Plan UNHCR UNICEF,3
CXB-201,SCI UNHCR UNICEF,3
CXB-205,Plan UNHCR UNICEF,3
CXB-215,SCI UNICEF,2
CXB-202,SCI UNHCR UNICEF,3
CXB-214,SCI UNICEF,2
CXB-025,SCI UNHCR,2
CXB-208,UNHCR UNICEF,2
CXB-221,BRAC UNHCR,2
CXB-204,UNHCR UNICEF,2
CXB-218,UNICEF,1
CXB-213,UNICEF,1
CXB-212,AMURT UNICEF,2
CXB-037,SCI UNICEF,2
CXB-222,SCI,1
CXB-209,UNHCR,1
CXB-233,UNICEF,1
CXB-089,UNHCR,1
CXB-203,UNICEF,1
CXB-217,UNICEF,1
CXB-220,SCI,1
CXB-085,UNICEF,1
CXB-017,SCI,1
CXB-216,UNICEF,1
CXB-219,UNICEF,1
CXB-032,UNICEF,1
CXB-108,UNICEF,1
OBAT SCI UNHCR UNICEF,CODEC MUKTI OBAT SCI/DAM YPSA,5
BRAC OBAT SCI UNICEF VSO,MUKTI OBAT YPSA,5
AMURT BRAC DoPeace UNICEF,ISDE SKUS,4
BRAC OBAT UNICEF,DAM OBAT,4
BRAC UNICEF,DAM MUKTI,4
Plan UNHCR UNICEF,CODEC MUKTI Plan,3
SCI UNHCR UNICEF,CODEC MUKTI YPSA,3
Plan UNHCR UNICEF,CODEC MUKTI Plan,3
SCI UNICEF,DAM SCI/DAM YPSA,3
SCI UNHCR UNICEF,CODEC MUKTI YPSA,3
SCI UNICEF,DAM MUKTI YPSA,3
SCI UNHCR,CODEC YPSA,2
UNHCR UNICEF,CODEC MUKTI,2
BRAC UNHCR,BRAC CODEC,2
UNHCR UNICEF,CODEC MUKTI,2
UNICEF,CODEC DAM,2
UNICEF,DAM MUKTI,2
AMURT UNICEF,SCI/DAM SKUS,2
SCI UNICEF,SCI SCI/DAM,2
SCI,YPSA,1
UNHCR,CODEC,1
UNICEF,CODEC,1
UNHCR,CODEC,1
UNICEF,MUKTI,1
UNICEF,CODEC,1
SCI,YPSA,1
UNICEF,CODEC,1
SCI,YPSA,1
UNICEF,DAM,1
UNICEF,DAM,1
UNICEF,CODEC,1
UNICEF,SCI/DAM,1